# Temperature, K	# Time, s	Channel 1: R8, Ohms	Channel 2: R7, Ohms	Channel 3: R2, Ohms	Channel 4: R3, Ohms	Channel 5: R5, Ohms	Channel 6: R6, Ohms	Channel 7: R11, Ohms	Channel 8: R12, Ohms	Channel 9: ROX, Ohms
6.181984187526828833e+01	1.629519543840616226e+09	5.246495555555555939e+02	5.163676222222222805e+02	5.296364222222222452e+03	5.351812666666665791e+03	2.401071777777777697e+03	1.387535555555555675e+03	1.724909111111111008e+06	1.654715333333333256e+06	1.110190888888888821e+03
6.312019201957517822e+01	1.629528811727904797e+09	5.242764285714285961e+02	5.161695476190476484e+02	5.299018809523809068e+03	5.352746904761904261e+03	2.400911428571428587e+03	1.387581904761904752e+03	1.725239523809523787e+06	1.655057142857142957e+06	1.109609047619047715e+03
6.446433577187011110e+01	1.629529989153648853e+09	5.241883333333333894e+02	5.159598809523808995e+02	5.298636666666666315e+03	5.351751666666667006e+03	2.400530238095238474e+03	1.387595238095238301e+03	1.725239047619047575e+06	1.655029285714285681e+06	1.108113571428571504e+03
6.576365059405445379e+01	1.629524820953538895e+09	5.242628205128205536e+02	5.158227948717948266e+02	5.295512307692307331e+03	5.348859999999998763e+03	2.400054871794872270e+03	1.387423846153846398e+03	1.724708717948717996e+06	1.654443076923076995e+06	1.106135384615384510e+03
6.705584701297044603e+01	1.629534106201918364e+09	5.234577499999999191e+02	5.156186749999999392e+02	5.298077500000000327e+03	5.349690000000000509e+03	2.399946249999999964e+03	1.387554000000000087e+03	1.724905750000000000e+06	1.654659500000000000e+06	1.105514000000000124e+03
6.839256981711578476e+01	1.629535383511017561e+09	5.234795000000000300e+02	5.154298000000001139e+02	5.298011000000000422e+03	5.348366500000000087e+03	2.399653499999999894e+03	1.387496499999999969e+03	1.724906750000000000e+06	1.654656750000000000e+06	1.104392499999999927e+03
6.969139019353889353e+01	1.629529585363887310e+09	5.247007894736840399e+02	5.153076842105264177e+02	5.295497631578947221e+03	5.345569999999999709e+03	2.398760789473683872e+03	1.387381842105263104e+03	1.724496315789473709e+06	1.654183947368421126e+06	1.102528421052631529e+03
7.100042791512225904e+01	1.629538916296514750e+09	5.233087499999999181e+02	5.151771999999999707e+02	5.297623499999999694e+03	5.346544500000000880e+03	2.398570999999999913e+03	1.387412250000000085e+03	1.724944500000000000e+06	1.654624500000000000e+06	1.101962749999999915e+03
7.232286531941706187e+01	1.629541312939705372e+09	5.228022499999999582e+02	5.149903749999999718e+02	5.297665750000000116e+03	5.345377000000000407e+03	2.398346000000000004e+03	1.387406000000000176e+03	1.724880750000000000e+06	1.654587750000000000e+06	1.101017749999999978e+03
7.361207823227557867e+01	1.629535228824004889e+09	5.235980487804878294e+02	5.148527804878049210e+02	5.294871707317072833e+03	5.342809024390244304e+03	2.397851463414634054e+03	1.387320731707317009e+03	1.724490975609756075e+06	1.654068780487804906e+06	1.099290487804878012e+03
